"'I.","'DETAILS OF TAX DEDUCTED AND (The deductor to","'DEPOSITED IN THE provide payment wise details of","'CENTRAL GOVERNMENT ACCOUNT tax deducted and deposited with respect","'THROUGH BOOK to the deductee)","'ADJUSTMENT",
"'","'Tax in of","'","'Book Identification Number","'(BIN)","'",
"'SI. No.","'Deposited respect the deductee (Rs.)","'Receipt Numbers of Form No. 24G","'DDO serial number in Form no. 24G","'Date of transfer voucher (dd/mm/yyyy)","'Status of matching with Form no. 24G",
"'Total (Rs.)","'","'","'","'","'",
,,,,,

'Confidence Scores % (Table Cell)
""'94.92187500","'94.92187500","'94.92187500","'94.92187500","'94.92187500","'94.92187500",
"'89.94140625","'94.04296875","'87.50000000","'87.50000000","'87.50000000","'87.50000000",
"'89.94140625","'94.04296875","'78.75976563","'85.10742188","'62.89062500","'81.88476563",
"'86.08398438","'90.72265625","'84.81445313","'84.81445313","'84.81445313","'84.81445313",
